code,glb,eng,epo,deu,fra,rus,spa,zho,nld,fry,por
Original Codes,,,,,,,,,,,
App Name,,Globasa Dictionary,Globasa Vortaro,,Dictionnaire globasa,,Diccionario de Globasa,,Globasa-woordenboek,Globasa-wurdboek,Dicionário de Globasa
Missing Interface Text Translation,,[Missing Translation],[Teksto ankoraŭ ne tradukita],,[Texte encore non traduit],,[Texto aún sin traducir],,[Ontbrekende vertaling],[Untbrekkende oersetting],[Texto sem tradução]
Missing Word Translation,,<em>Missing Dictionary Translation</em>,<em>Vorto ankoraŭ ne tradukita</em>,,<em>Mot encore non traduit</em>,,<em>Palabra aún sin traducir</em>,,[Ontbrekende woordenboekvertaling],[Untbrekkende wurdboekoersetting],<em>Palavra sem tradução</em>
Etymology,,<strong>Etymology</strong>: %1$s,<strong>Etimologio</strong>: %1$s,,<strong>Étymologie</strong>: %1$s,,<strong>Etimología</strong>: %1$s,,<strong>Etimologie</strong>: %1$s,<strong>Etimology</strong>: %1$s,Etimologia: %1$s
Search Placeholder,,Search word in English or Globasa,Serĉu vorton en Esperanto aŭ Globasa,,Rechercher un mot en français ou en globasa,,Buscar palabra en español o Globasa ,,Een woord zoeken in het Nederlands of Globasa,In wurd sykje yn it Frysk of Globasa,Buscar palavra em português ou em Globasa
Entry for,,Entry for ‘%1$s’:,Ero por ‘%1$s’:,,Entrée pour ‘%1$s’ :,,Entrada para ‘%1$s’:,,Resultaat voor ‘%1$s’:,Resultaat foar ‘%1$s’:,Verbete para '%1$s':
Entries for,,Entries for ‘%1$s’:,Eroj por ‘%1$s’:,,Entrées pour ‘%1$s’ :,,Entradas para ‘%1$s’:,,Resultaten voor ‘%1$s’:,Resultaten foar ‘%1$s’:,Verbetes para '%1$s':
"Side Bar, Menu, Footer",,,,,,,,,,,
search natlang placeholder,,English Search,Esperanto-lingva serĉo,,Recherche en français,,Busqueda en español,,Zoeken in het Nederlands,Sykje yn it Frysk,
